L 623.0, -447.0, 28.0, 623.0, -421.0, 28.0, 0, 204, 0
L 615.0, -463.0, 28.0, 623.0, -447.0, 28.0, 0, 204, 0
L 587.0, -463.0, 28.0, 615.0, -463.0, 28.0, 0, 204, 0
L 580.0, -447.0, 28.0, 587.0, -463.0, 28.0, 0, 204, 0
L 579.0, -421.0, 28.0, 580.0, -447.0, 28.0, 0, 204, 0
L 576.0, -421.0, 28.0, 579.0, -421.0, 28.0, 0, 204, 0
L 576.0, -425.0, 28.0, 576.0, -421.0, 28.0, 0, 204, 0
L 576.0, -448.0, 14.0, 576.0, -445.0, 15.0, 0, 204, 0
L 569.0, -425.0, 28.0, 569.0, -427.0, 26.0, 0, 204, 0
L 569.0, -420.0, 28.0, 569.0, -425.0, 28.0, 0, 204, 0
L 578.0, -412.0, 28.0, 569.0, -420.0, 28.0, 0, 204, 0
L 587.0, -403.0, 28.0, 578.0, -412.0, 28.0, 0, 204, 0
L 615.0, -403.0, 28.0, 587.0, -403.0, 28.0, 0, 204, 0
L 625.0, -412.0, 28.0, 615.0, -403.0, 28.0, 0, 204, 0
L 634.0, -420.0, 28.0, 625.0, -412.0, 28.0, 0, 204, 0
L 634.0, -425.0, 28.0, 634.0, -420.0, 28.0, 0, 204, 0
L 634.0, -448.0, 14.0, 634.0, -445.0, 15.0, 0, 204, 0
L 591.0, -391.0, 14.0, 587.0, -391.0, 14.0, 139, 69, 19
L 467.0, -499.0, 0.0, 467.0, -490.0, 0.0, 0, 0, 0
L 467.0, -499.0, 0.0, 469.0, -499.0, 0.0, 0, 0, 0
L 472.0, -499.0, 0.0, 472.0, -496.0, 0.0, 0, 0, 0
L 472.0, -496.0, 0.0, 476.0, -496.0, 0.0, 0, 0, 0
L 475.0, -559.0, 0.0, 504.0, -531.0, -6.0, 0, 0, 0
L 448.0, -545.0, 0.0, 475.0, -559.0, 0.0, 0, 0, 0
L 448.0, -532.0, 0.0, 448.0, -545.0, 0.0, 0, 0, 0
L 476.0, -532.0, 0.0, 448.0, -532.0, 0.0, 0, 0, 0
L 476.0, -511.0, 0.0, 476.0, -532.0, 0.0, 0, 0, 0
L 472.0, -511.0, 0.0, 476.0, -511.0, 0.0, 0, 0, 0
L 472.0, -508.0, 0.0, 472.0, -511.0, 0.0, 0, 0, 0
L 467.0, -508.0, 0.0, 469.0, -508.0, 0.0, 0, 0, 0
L 467.0, -517.0, 0.0, 467.0, -508.0, 0.0, 0, 0, 0
L 824.0, -363.0, -13.0, 812.8, -367.3, -14.0, 0, 0, 0
L 811.0, -350.0, -13.0, 824.0, -363.0, -13.0, 0, 0, 0
L 811.0, -335.0, -13.0, 811.0, -350.0, -13.0, 0, 0, 0
L 797.0, -308.0, -13.0, 811.0, -335.0, -13.0, 0, 0, 0
L 797.0, -265.0, -13.0, 797.0, -308.0, -13.0, 0, 0, 0
L 839.0, -265.0, -13.0, 797.0, -265.0, -13.0, 0, 0, 0
L 839.0, -246.0, -13.0, 839.0, -251.0, -13.0, 0, 0, 0
L 826.0, -246.0, -13.0, 839.0, -246.0, -13.0, 199, 21, 133
L 826.0, -252.0, -13.0, 826.0, -250.0, -13.0, 0, 0, 0
L 784.0, -252.0, -13.0, 826.0, -252.0, -13.0, 0, 0, 0
L 784.0, -293.0, -13.0, 784.0, -252.0, -13.0, 0, 0, 0
L 769.0, -308.0, -13.0, 784.0, -293.0, -13.0, 0, 0, 0
L 741.0, -322.0, -13.0, 769.0, -308.0, -13.0, 0, 0, 0
L 727.0, -322.0, -13.0, 741.0, -322.0, -13.0, 0, 0, 0
L 713.0, -308.0, -13.0, 727.0, -322.0, -13.0, 0, 0, 0
L 685.0, -308.0, -13.0, 713.0, -308.0, -13.0, 0, 0, 0
L 657.0, -280.0, -13.0, 685.0, -308.0, -13.0, 0, 0, 0
L 617.0, -280.0, -13.0, 618.9, -280.0, -13.0, 0, 0, 0
L 574.0, -294.0, -7.0, 617.0, -280.0, -13.0, 0, 0, 0
L 476.0, -476.0, 0.0, 476.0, -496.0, 0.0, 0, 0, 0
L 503.0, -503.0, -6.0, 503.0, -517.0, -6.0, 0, 0, 0
L 476.0, -476.0, 0.0, 503.0, -503.0, -6.0, 0, 0, 0
L 713.0, -363.0, -13.0, 699.0, -349.0, -7.0, 0, 0, 0
L 742.0, -363.0, -13.0, 713.0, -363.0, -13.0, 0, 0, 0
L 753.8, -367.3, -14.0, 742.0, -363.0, -13.0, 0, 0, 0
L 602.0, -573.0, -7.0, 559.0, -602.0, 0.0, 0, 0, 0
L 559.0, -602.0, 0.0, 546.0, -602.0, 0.0, 0, 0, 0
L 546.0, -602.0, 0.0, 546.0, -615.0, 0.0, 0, 0, 0
L 546.0, -615.0, 0.0, 532.0, -629.0, 0.0, 0, 0, 0
L 532.0, -629.0, 0.0, 532.0, -643.0, 0.0, 0, 0, 0
L 532.0, -643.0, 0.0, 545.0, -656.0, 0.0, 0, 0, 0
L 545.0, -656.0, 0.0, 545.0, -643.0, 0.0, 0, 0, 0
L 545.0, -643.0, 0.0, 559.0, -629.0, 0.0, 0, 0, 0
L 559.0, -629.0, 0.0, 575.0, -629.0, 0.0, 0, 0, 0
L 575.0, -632.0, 0.0, 570.0, -632.0, 0.0, 0, 0, 0
L 570.0, -632.0, 0.0, 570.0, -679.0, 0.0, 0, 0, 0
L 565.0, -681.0, 0.0, 562.2, -679.8, -1.4, 0, 0, 0
L 565.0, -701.0, 0.0, 562.2, -702.4, -1.4, 0, 0, 0
L 543.0, -717.0, -11.0, 535.0, -717.0, -11.0, 0, 0, 0
L 535.0, -717.0, -11.0, 535.0, -725.0, -11.0, 0, 0, 0
L 535.0, -725.0, -11.0, 504.0, -725.0, -11.0, 0, 0, 0
L 504.0, -725.0, -11.0, 504.0, -717.0, -11.0, 0, 0, 0
L 504.0, -717.0, -11.0, 496.0, -717.0, -11.0, 0, 0, 0
L 504.0, -665.0, -11.0, 504.0, -658.0, -11.0, 0, 0, 0
L 504.0, -658.0, -11.0, 535.0, -658.0, -11.0, 0, 0, 0
L 535.0, -658.0, -11.0, 535.0, -665.0, -11.0, 0, 0, 0
L 565.0, -701.0, 0.0, 568.5, -700.0, 0.0, 0, 0, 0
L 526.0, -738.0, 0.0, 526.0, -753.0, 0.0, 0, 0, 0
L 839.0, -251.0, -13.0, 839.0, -265.0, -13.0, 0, 0, 0
L 839.0, -251.0, -13.0, 839.0, -210.0, -13.0, 0, 0, 0
L 826.0, -250.0, -13.0, 826.0, -246.0, -13.0, 0, 0, 0
L 826.0, -223.0, -13.0, 826.0, -250.0, -13.0, 0, 0, 0
L 530.0, -757.0, 0.0, 530.0, -753.0, 0.0, 0, 0, 0
L 545.0, -734.0, 0.0, 530.0, -734.0, 0.0, 0, 0, 0
L 526.0, -738.0, 0.0, 530.0, -738.0, 0.0, 0, 0, 0
L 530.0, -738.0, 0.0, 530.0, -734.0, 0.0, 0, 0, 0
L 541.0, -750.0, 0.0, 535.0, -750.0, 0.0, 255, 255, 0
L 574.0, -739.0, 0.0, 545.0, -739.0, 0.0, 0, 0, 0
L 545.0, -734.0, 0.0, 545.0, -739.0, 0.0, 0, 0, 0
L 585.0, -739.0, 0.0, 597.0, -739.0, 0.0, 0, 0, 0
L 598.0, -701.0, 0.0, 598.0, -736.0, 0.0, 0, 0, 0
L 621.0, -751.0, 0.0, 636.0, -751.0, 0.0, 0, 0, 0
L 570.0, -679.0, 0.0, 573.0, -679.0, 0.0, 0, 0, 0
L 573.0, -679.0, 0.0, 573.0, -683.0, 0.0, 0, 0, 0
L 585.0, -632.0, 0.0, 585.0, -630.0, 0.0, 0, 0, 0
L 601.0, -629.0, 0.0, 585.0, -629.0, 0.0, 0, 0, 0
L 575.0, -632.0, 0.0, 575.0, -630.0, 0.0, 0, 0, 0
L 496.0, -699.0, -11.0, 496.0, -717.0, -11.0, 0, 0, 0
L 484.0, -699.0, -11.0, 496.0, -699.0, -11.0, 0, 0, 0
L 496.0, -684.0, -11.0, 496.0, -699.0, -11.0, 0, 0, 255
L 496.0, -684.0, -11.0, 484.0, -684.0, -11.0, 0, 0, 0
L 541.0, -699.0, -11.0, 496.0, -699.0, -11.0, 0, 0, 255
L 496.0, -684.0, -11.0, 541.0, -684.0, -11.0, 0, 0, 255
L 484.0, -684.0, -11.0, 484.0, -699.0, -11.0, 0, 0, 0
L 541.0, -684.0, -11.0, 541.0, -699.0, -11.0, 0, 0, 255
L 504.0, -665.0, -11.0, 496.0, -665.0, -11.0, 0, 0, 0
L 496.0, -684.0, -11.0, 496.0, -665.0, -11.0, 0, 0, 0
L 543.0, -717.0, -11.0, 543.0, -712.0, -11.0, 0, 0, 0
L 543.0, -671.0, -11.0, 543.0, -665.0, -11.0, 0, 0, 0
L 535.0, -665.0, -11.0, 543.0, -665.0, -11.0, 0, 0, 0
L 587.0, -679.0, 0.0, 587.0, -683.0, 0.0, 0, 0, 0
L 587.0, -699.0, 0.0, 587.0, -703.0, 0.0, 0, 0, 0
L 585.0, -703.0, 0.0, 587.0, -703.0, 0.0, 0, 0, 0
L 574.0, -739.0, 0.0, 574.0, -699.0, 0.0, 0, 0, 0
L 591.0, -699.0, 0.0, 587.0, -699.0, 0.0, 0, 0, 0
L 574.0, -699.0, 0.0, 572.0, -699.0, 0.0, 0, 0, 0
L 841.0, -591.0, 0.0, 866.0, -591.0, 0.0, 0, 0, 0
L 829.0, -514.0, 0.0, 804.0, -514.0, 0.0, 0, 0, 0
L 829.0, -514.0, 0.0, 829.0, -511.3, 0.0, 0, 0, 0
L 939.0, -488.0, 0.0, 903.0, -488.0, 0.0, 0, 0, 0
L 841.0, -591.0, 0.0, 841.0, -606.0, 0.0, 0, 0, 0
L 829.0, -591.0, 0.0, 829.0, -617.0, 0.0, 0, 0, 0
L 939.0, -617.0, 0.0, 903.0, -617.0, 0.0, 0, 0, 0
L 923.0, -569.0, 0.0, 923.0, -538.0, 0.0, 0, 0, 0
L 841.0, -606.0, 0.0, 889.0, -606.0, 0.0, 0, 0, 0
L 901.0, -606.0, 0.0, 903.0, -606.0, 0.0, 0, 0, 0
L 901.0, -606.0, 0.0, 901.0, -569.0, 0.0, 0, 0, 0
L 901.0, -499.0, 0.0, 903.0, -499.0, 0.0, 0, 0, 0
L 923.0, -538.0, 0.0, 901.0, -538.0, 0.0, 0, 0, 0
L 901.0, -538.0, 0.0, 901.0, -499.0, 0.0, 0, 0, 0
L 927.0, -523.0, 0.0, 905.0, -523.0, 0.0, 0, 0, 0
L 609.0, -455.0, 14.0, 616.0, -461.0, 14.0, 150, 150, 150
L 593.0, -455.0, 14.0, 609.0, -455.0, 14.0, 150, 150, 150
L 643.0, -447.0, 14.0, 643.0, -419.0, 14.0, 139, 69, 19
L 587.0, -461.0, 14.0, 593.0, -455.0, 14.0, 150, 150, 150
L 587.0, -466.0, 14.0, 587.0, -461.0, 14.0, 150, 150, 150
L 587.0, -391.0, 14.0, 560.0, -419.0, 14.0, 139, 69, 19
L 587.0, -475.0, 14.0, 615.0, -475.0, 14.0, 139, 69, 19
L 560.0, -448.0, 14.0, 587.0, -475.0, 14.0, 139, 69, 19
L 618.0, -422.0, 14.0, 606.0, -422.0, 14.0, 0, 0, 0
L 616.0, -466.0, 14.0, 634.0, -448.0, 14.0, 0, 0, 0
L 618.0, -427.0, 14.0, 618.0, -422.0, 14.0, 0, 0, 0
L 560.0, -419.0, 14.0, 560.0, -448.0, 14.0, 139, 69, 19
L 616.0, -461.0, 14.0, 616.0, -466.0, 14.0, 150, 150, 150
L 615.0, -475.0, 14.0, 643.0, -447.0, 14.0, 139, 69, 19
L 587.0, -470.0, 14.0, 565.0, -447.0, 14.0, 0, 0, 0
L 638.0, -447.0, 14.0, 615.0, -470.0, 14.0, 0, 0, 0
L 585.0, -422.0, 14.0, 585.0, -427.0, 14.0, 0, 0, 0
L 580.0, -427.0, 14.0, 580.0, -448.0, 14.0, 0, 0, 0
L 596.0, -422.0, 14.0, 585.0, -422.0, 14.0, 0, 0, 0
L 565.0, -419.0, 14.0, 594.0, -419.0, 14.0, 0, 0, 0
L 585.0, -427.0, 14.0, 580.0, -427.0, 14.0, 0, 0, 0
L 609.0, -419.0, 14.0, 638.0, -419.0, 14.0, 0, 0, 0
L 594.0, -419.0, 14.0, 596.0, -419.0, 14.0, 0, 0, 0
L 591.0, -391.0, 14.0, 594.0, -391.0, 14.0, 139, 69, 19
L 610.0, -391.0, 14.0, 615.0, -391.0, 14.0, 139, 69, 19
L 607.0, -391.0, 14.0, 610.0, -391.0, 14.0, 139, 69, 19
L 643.0, -419.0, 14.0, 615.0, -391.0, 14.0, 139, 69, 19
L 606.0, -422.0, 14.0, 606.0, -420.0, 14.0, 0, 0, 0
L 606.0, -419.0, 14.0, 609.0, -419.0, 14.0, 0, 0, 0
L 596.0, -422.0, 14.0, 596.0, -420.0, 14.0, 0, 0, 0
L 565.0, -447.0, 14.0, 565.0, -419.0, 14.0, 0, 0, 0
L 638.0, -447.0, 14.0, 638.0, -419.0, 14.0, 0, 0, 0
L 618.0, -427.0, 14.0, 623.0, -427.0, 14.0, 0, 0, 0
L 615.0, -470.0, 14.0, 587.0, -470.0, 14.0, 0, 0, 0
L 634.0, -448.0, 14.0, 627.0, -448.0, 14.0, 150, 150, 150
L 580.0, -448.0, 14.0, 576.0, -448.0, 14.0, 0, 0, 0
L 623.0, -448.0, 14.0, 623.0, -427.0, 14.0, 0, 0, 0
L 573.0, -552.0, -7.0, 545.0, -545.0, -7.0, 0, 0, 255
L 589.0, -350.0, -7.0, 591.0, -350.0, -7.0, 0, 0, 255
L 517.0, -518.0, -7.0, 532.0, -489.0, -7.0, 0, 0, 255
L 545.0, -336.0, -7.0, 571.0, -336.0, -7.0, 0, 0, 255
L 571.0, -336.0, -7.0, 589.0, -350.0, -7.0, 0, 0, 255
L 545.0, -545.0, -7.0, 517.0, -518.0, -7.0, 0, 0, 255
L 532.0, -475.0, -7.0, 548.0, -462.0, -7.0, 0, 0, 255
L 611.0, -350.0, -7.0, 641.0, -336.0, -7.0, 0, 0, 255
L 548.0, -405.0, -7.0, 546.0, -377.0, -7.0, 0, 0, 255
L 546.0, -377.0, -7.0, 532.0, -349.0, -7.0, 0, 0, 255
L 641.0, -336.0, -7.0, 671.0, -336.0, -7.0, 0, 0, 255
L 532.0, -447.0, -7.0, 548.0, -462.0, -7.0, 0, 0, 255
L 532.0, -420.0, -7.0, 532.0, -447.0, -7.0, 0, 0, 255
L 532.0, -349.0, -7.0, 545.0, -336.0, -7.0, 0, 0, 255
L 548.0, -405.0, -7.0, 532.0, -420.0, -7.0, 0, 0, 255
L 532.0, -489.0, -7.0, 532.0, -475.0, -7.0, 0, 0, 255
L 560.0, -322.0, -7.0, 574.0, -307.0, -7.0, 0, 0, 0
L 560.0, -322.0, -7.0, 545.0, -336.0, -7.0, 0, 0, 0
L 532.0, -475.0, -7.0, 532.0, -447.0, -7.0, 0, 0, 0
L 532.0, -349.0, -7.0, 532.0, -420.0, -7.0, 0, 0, 0
L 685.0, -420.0, -7.0, 669.0, -405.0, -7.0, 0, 0, 255
L 685.0, -447.0, -7.0, 685.0, -420.0, -7.0, 0, 0, 255
L 673.0, -461.0, -7.0, 673.0, -462.0, -7.0, 0, 0, 255
L 685.0, -447.0, -7.0, 673.0, -461.0, -7.0, 0, 0, 255
L 657.0, -545.0, -7.0, 643.0, -559.0, -7.0, 0, 0, 255
L 671.0, -531.0, -7.0, 657.0, -545.0, -7.0, 0, 0, 255
L 685.0, -489.0, -7.0, 671.0, -517.0, -7.0, 0, 0, 255
L 643.0, -559.0, -7.0, 601.0, -559.0, -7.0, 0, 0, 255
L 673.0, -462.0, -7.0, 685.0, -489.0, -7.0, 0, 0, 255
L 671.0, -517.0, -7.0, 671.0, -531.0, -7.0, 0, 0, 255
L 671.0, -377.0, -7.0, 669.0, -405.0, -7.0, 0, 0, 255
L 601.0, -559.0, -7.0, 573.0, -552.0, -7.0, 0, 0, 255
L 685.0, -349.0, -7.0, 671.0, -377.0, -7.0, 0, 0, 255
L 671.0, -336.0, -7.0, 685.0, -349.0, -7.0, 0, 0, 255
L 699.0, -349.0, -7.0, 685.0, -349.0, -7.0, 0, 0, 0
L 574.0, -307.0, -7.0, 574.0, -294.0, -7.0, 0, 0, 0
L 531.0, -531.0, -7.0, 504.0, -531.0, -6.0, 0, 0, 0
L 503.0, -517.0, -6.0, 517.0, -518.0, -7.0, 0, 0, 0
L 643.0, -559.0, -7.0, 615.0, -573.0, -7.0, 0, 0, 0
L 602.0, -573.0, -7.0, 573.0, -552.0, -7.0, 0, 0, 0
L 685.0, -447.0, -7.0, 713.0, -475.0, -7.0, 0, 0, 0
L 713.0, -489.0, -7.0, 685.0, -489.0, -7.0, 0, 0, 0
L 594.0, -350.0, -7.0, 594.0, -391.0, 14.0, 139, 69, 19
L 591.0, -350.0, -7.0, 594.0, -350.0, -7.0, 139, 69, 19
L 591.0, -350.0, -7.0, 591.0, -391.0, 14.0, 139, 69, 19
L 607.0, -350.0, -7.0, 610.0, -350.0, -7.0, 139, 69, 19
L 607.0, -350.0, -7.0, 607.0, -391.0, 14.0, 139, 69, 19
L 610.0, -350.0, -7.0, 611.0, -350.0, -7.0, 0, 0, 255
L 610.0, -350.0, -7.0, 610.0, -391.0, 14.0, 139, 69, 19
L 576.0, -425.0, 28.0, 569.0, -425.0, 28.0, 150, 150, 150
L 576.0, -448.0, 14.0, 569.0, -448.0, 14.0, 150, 150, 150
L 569.0, -448.0, 14.0, 587.0, -466.0, 14.0, 0, 0, 0
L 576.0, -436.0, 21.0, 576.0, -433.0, 22.0, 0, 204, 0
L 569.0, -436.0, 21.0, 569.0, -439.0, 19.0, 0, 204, 0
L 576.0, -436.0, 21.0, 569.0, -436.0, 21.0, 150, 150, 150
L 576.0, -430.0, 24.0, 576.0, -427.0, 26.0, 0, 204, 0
L 569.0, -430.0, 24.0, 569.0, -433.0, 22.0, 0, 204, 0
L 576.0, -430.0, 24.0, 569.0, -430.0, 24.0, 150, 150, 150
L 576.0, -427.0, 26.0, 576.0, -425.0, 28.0, 0, 204, 0
L 569.0, -427.0, 26.0, 569.0, -430.0, 24.0, 0, 204, 0
L 576.0, -427.0, 26.0, 569.0, -427.0, 26.0, 150, 150, 150
L 576.0, -433.0, 22.0, 576.0, -430.0, 24.0, 0, 204, 0
L 569.0, -433.0, 22.0, 569.0, -436.0, 21.0, 0, 204, 0
L 576.0, -433.0, 22.0, 569.0, -433.0, 22.0, 150, 150, 150
L 576.0, -442.0, 17.0, 576.0, -439.0, 19.0, 0, 204, 0
L 569.0, -442.0, 17.0, 569.0, -445.0, 15.0, 0, 204, 0
L 576.0, -442.0, 17.0, 569.0, -442.0, 17.0, 150, 150, 150
L 576.0, -439.0, 19.0, 576.0, -436.0, 21.0, 0, 204, 0
L 569.0, -439.0, 19.0, 569.0, -442.0, 17.0, 0, 204, 0
L 576.0, -439.0, 19.0, 569.0, -439.0, 19.0, 150, 150, 150
L 576.0, -445.0, 15.0, 576.0, -442.0, 17.0, 0, 204, 0
L 569.0, -445.0, 15.0, 569.0, -448.0, 14.0, 0, 204, 0
L 576.0, -445.0, 15.0, 569.0, -445.0, 15.0, 150, 150, 150
L 627.0, -448.0, 14.0, 623.0, -448.0, 14.0, 0, 0, 0
L 627.0, -425.0, 28.0, 634.0, -425.0, 28.0, 150, 150, 150
L 627.0, -436.0, 21.0, 627.0, -439.0, 19.0, 0, 204, 0
L 634.0, -436.0, 21.0, 634.0, -433.0, 22.0, 0, 204, 0
L 627.0, -436.0, 21.0, 634.0, -436.0, 21.0, 150, 150, 150
L 627.0, -442.0, 17.0, 627.0, -445.0, 15.0, 0, 204, 0
L 634.0, -442.0, 17.0, 634.0, -439.0, 19.0, 0, 204, 0
L 627.0, -442.0, 17.0, 634.0, -442.0, 17.0, 150, 150, 150
L 627.0, -430.0, 24.0, 627.0, -433.0, 22.0, 0, 204, 0
L 634.0, -430.0, 24.0, 634.0, -427.0, 26.0, 0, 204, 0
L 627.0, -430.0, 24.0, 634.0, -430.0, 24.0, 150, 150, 150
L 627.0, -433.0, 22.0, 627.0, -436.0, 21.0, 0, 204, 0
L 634.0, -433.0, 22.0, 634.0, -430.0, 24.0, 0, 204, 0
L 627.0, -433.0, 22.0, 634.0, -433.0, 22.0, 150, 150, 150
L 627.0, -427.0, 26.0, 627.0, -430.0, 24.0, 0, 204, 0
L 634.0, -427.0, 26.0, 634.0, -425.0, 28.0, 0, 204, 0
L 627.0, -427.0, 26.0, 634.0, -427.0, 26.0, 150, 150, 150
L 627.0, -439.0, 19.0, 627.0, -442.0, 17.0, 0, 204, 0
L 634.0, -439.0, 19.0, 634.0, -436.0, 21.0, 0, 204, 0
L 627.0, -439.0, 19.0, 634.0, -439.0, 19.0, 150, 150, 150
L 627.0, -445.0, 15.0, 627.0, -448.0, 14.0, 0, 204, 0
L 634.0, -445.0, 15.0, 634.0, -442.0, 17.0, 0, 204, 0
L 627.0, -445.0, 15.0, 634.0, -445.0, 15.0, 150, 150, 150
